 cbo , dit , fanIn , fanOut , lcom , noc , numberOfAttributes , numberOfAttributesInherited , numberOfLinesOfCode , numberOfMethods , numberOfMethodsInherited , numberOfPrivateAttributes , numberOfPrivateMethods , numberOfPublicAttributes , numberOfPublicMethods , rfc , wmc , bugs , 
11,3,4,7,66,0,2,0,144,12,44,2,0,0,12,34,21,0, 
7,3,1,6,3,0,0,12,39,3,46,0,0,0,2,27,6,0, 
2,1,2,0,10,1,0,0,0,5,9,0,0,0,0,5,0,0, 
4,2,0,4,1,0,2,14,35,2,15,2,0,0,2,12,6,0, 
23,1,3,20,15,1,5,0,87,6,10,0,1,1,4,41,7,0, 
1,1,1,0,0,0,0,0,3,1,27,0,0,0,1,1,1,0, 
6,1,1,5,1,0,2,0,18,2,10,2,0,0,2,9,2,0, 
2,1,1,1,3,0,6,0,13,3,9,0,0,6,3,8,2,0, 
10,2,3,7,325,0,9,2,267,26,58,8,0,1,20,156,67,0, 
3,2,0,3,28,0,2,0,28,8,33,0,0,2,8,18,8,0, 
2,4,0,2,1,0,0,10,36,2,24,0,0,0,1,14,12,0, 
3,2,2,1,3,0,1,1,13,3,13,1,0,0,3,6,3,0, 
5,3,2,3,1,0,1,1,15,2,16,0,0,0,1,8,4,0, 
6,2,1,5,3,0,2,0,17,3,15,1,0,0,3,12,4,0, 
3,2,2,1,15,0,2,0,30,6,15,2,0,0,6,13,9,0, 
153,1,138,16,1225,6,5,0,214,50,9,3,1,0,39,124,48,3, 
9,1,0,9,1,0,0,0,78,2,9,0,0,0,2,43,13,0, 
4,1,1,3,190,0,19,26,604,20,9,2,14,7,5,103,217,0, 
3,3,1,2,3,0,7,1,45,3,16,4,1,0,2,17,10,1, 
3,2,1,2,6,0,5,13,9,4,35,2,0,3,3,9,3,0, 
3,2,0,3,3,0,0,2,10,3,39,0,0,0,2,6,3,0, 
11,1,10,1,15,0,3,0,23,6,9,3,1,0,5,12,6,0, 
5,2,2,3,36,2,4,0,63,9,13,4,0,0,9,24,15,0, 
0,1,0,0,6,0,8,0,13,4,9,0,0,8,4,5,4,0, 
13,1,10,3,3,9,3,0,29,3,9,0,0,1,3,12,8,1, 
14,2,0,14,45,0,3,1,229,10,16,2,1,1,2,53,43,0, 
2,1,0,2,1,0,3,0,19,2,18,0,0,3,1,7,6,0, 
2,1,2,0,6,1,0,0,0,4,9,0,0,0,0,4,0,0, 
50,1,50,0,15,33,1,0,12,6,9,1,0,0,4,9,4,1, 
12,1,1,11,1,0,5,0,58,2,10,1,0,4,2,29,10,0, 
3,1,1,2,1,0,0,0,10,2,10,0,0,0,2,6,1,0, 
1,2,0,1,561,0,4,6,1501,34,35,4,33,0,1,137,262,0, 
8,1,6,2,1,0,9,0,115,2,9,4,0,0,2,7,20,0, 
6,1,1,5,1,0,6,0,51,2,9,3,0,0,2,19,10,0, 
5,4,2,3,1,0,0,5,28,2,27,0,0,0,0,9,7,0, 
1,2,1,0,1,3,4,2,6,2,27,3,0,0,2,2,2,5, 
6,1,2,4,3,0,1,0,31,3,9,1,0,0,3,19,4,0, 
5,3,1,4,1,0,1,0,19,2,12,0,0,1,2,8,2,0, 
16,2,5,14,276,0,4,2,174,24,58,4,0,0,19,123,64,1, 
1,2,0,1,66,0,13,6,866,12,35,13,11,0,1,92,155,0, 
5,1,4,1,6,1,2,0,43,4,9,2,0,0,3,18,8,0, 
4,2,1,3,10,0,8,1,30,5,11,0,0,8,0,11,6,0, 
1,1,1,0,1,3,0,0,0,2,9,0,0,0,0,2,0,0, 
2,1,2,0,1,0,4,0,12,2,9,0,0,4,0,2,2,0, 
12,2,10,2,10,0,1,0,20,5,29,1,0,0,4,14,8,0, 
26,1,26,0,6,4,0,0,0,4,9,0,0,0,4,4,0,0, 
9,2,1,8,91,0,5,2,102,14,27,0,0,0,14,63,21,0, 
20,1,12,10,45,0,1,0,214,10,9,0,0,1,10,105,46,0, 
74,1,72,2,45,0,2,0,37,10,18,0,1,2,7,18,16,0, 
12,1,0,12,6,0,0,0,206,4,9,0,1,0,3,78,47,0, 
4,1,1,3,3,0,5,0,87,3,27,0,0,3,2,28,24,0, 
3,3,1,2,1,0,0,1,12,2,45,0,0,0,2,9,2,0, 
2,1,0,2,0,0,6,0,18,1,9,0,0,6,1,5,2,0, 
2,3,1,1,15,0,0,0,10,6,17,0,0,0,6,10,6,0, 
3,2,2,2,21,0,7,0,42,7,13,0,0,7,5,12,10,0, 
29,1,28,1,55,1,3,0,63,11,18,3,0,0,9,32,18,0, 
13,1,1,12,6,0,5,0,163,4,9,4,0,1,2,43,27,0, 
6,2,1,6,91,0,12,0,166,14,16,12,5,0,9,63,50,1, 
8,1,5,3,78,0,4,0,128,13,9,4,5,0,8,52,31,0, 
6,3,1,5,10,0,4,0,34,5,24,4,0,0,4,18,8,0, 
2,2,1,1,3,0,3,0,39,3,39,3,0,0,3,8,5,0, 
2,3,1,1,1,0,9,1,27,2,16,7,0,0,2,7,6,0, 
8,1,5,3,3,0,5,0,90,3,27,0,0,3,2,29,24,0, 
6,1,6,0,0,0,0,0,0,1,27,0,0,0,1,1,0,0, 
15,1,3,13,496,0,40,39,574,32,9,19,11,21,17,177,179,0, 
4,1,1,3,15,0,2,0,18,6,9,2,1,0,5,12,7,0, 
4,2,0,4,3,0,3,0,15,3,15,2,0,0,3,10,3,0, 
29,1,27,2,78,4,2,0,22,13,18,2,0,0,13,17,7,1, 
7,1,6,1,10,0,3,0,20,5,11,3,0,0,5,6,6,0, 
3,1,1,2,28,1,3,0,50,8,15,3,0,0,7,18,15,0, 
0,1,0,0,0,0,5,0,0,0,9,0,0,1,0,0,0,0, 
0,3,0,0,15,0,0,2,18,6,55,0,0,0,6,6,6,0, 
3,2,1,2,28,0,7,0,58,8,17,7,0,0,0,17,10,0, 
3,2,0,3,3,0,27,0,25,3,15,27,1,0,2,11,5,0, 
5,3,1,4,1,0,1,0,19,2,12,0,0,1,2,13,4,0, 
9,2,1,8,78,2,3,0,88,13,39,3,0,0,12,44,28,0, 
4,2,2,2,6,0,5,0,59,4,15,4,0,0,4,19,21,0, 
3,4,0,3,1,0,1,3,10,2,22,1,0,0,2,5,4,0, 
10,2,1,10,21,1,7,0,97,7,24,0,0,0,7,50,12,0, 
6,3,2,4,66,0,11,0,135,12,24,11,7,0,4,51,36,0, 
4,3,0,4,10,0,1,0,43,5,31,1,0,0,5,13,8,0, 
4,4,1,3,3,0,0,1,13,3,54,0,0,0,2,6,5,0, 
2,1,0,2,1,0,0,0,21,2,9,0,0,0,2,7,5,0, 
6,1,1,6,1,0,1,2,23,2,31,0,0,1,1,11,2,0, 
1,2,0,1,136,0,17,6,1131,17,35,17,16,0,1,127,206,0, 
6,1,5,1,66,0,5,0,51,12,9,4,0,1,9,16,18,0, 
1,1,0,1,1,0,0,0,4,2,9,0,1,0,1,3,2,0, 
4,2,3,1,10,0,4,0,19,5,15,4,0,0,5,9,5,0, 
7,2,5,2,78,4,6,0,131,13,33,4,2,0,8,36,30,0, 
18,1,14,4,78,0,9,0,107,13,9,2,2,0,9,52,32,1, 
8,1,1,7,105,0,13,0,154,15,9,13,5,0,5,55,39,1, 
3,1,3,0,153,0,8,0,51,18,9,8,0,0,18,20,17,0, 
11,2,4,7,253,0,14,2,240,23,39,13,8,1,14,89,72,0, 
2,2,1,1,10,0,2,0,13,5,13,0,0,2,3,6,5,0, 
4,2,0,4,21,0,2,1,53,7,15,0,0,2,4,33,9,0, 
4,2,2,3,15,0,7,0,62,6,11,6,2,0,4,13,10,0, 
2,2,0,2,1,0,0,0,7,2,15,0,0,0,2,4,2,0, 
8,2,1,7,91,0,5,2,102,14,27,0,0,0,14,64,21,0, 
5,1,1,4,21,1,16,0,132,7,10,2,2,12,3,46,23,0, 
8,1,0,8,6,0,5,0,154,4,9,3,3,0,1,62,18,0, 
1,1,1,0,15,1,0,0,3,6,9,0,0,0,0,7,1,0, 
26,1,13,14,28,0,0,0,167,8,9,0,2,0,6,56,25,0, 
3,3,0,3,6,0,7,1,56,4,16,6,1,0,2,17,14,0, 
5,3,1,4,36,0,8,0,98,9,17,6,1,0,7,41,31,0, 
8,2,2,6,10,0,1,1,53,5,13,1,1,0,3,28,14,0, 
8,1,2,6,55,0,4,0,50,11,9,4,0,0,10,39,16,0, 
2,1,1,1,1,0,3,0,6,2,10,3,0,0,2,4,2,0, 
1,2,0,1,28,0,4,0,58,8,24,3,0,0,7,18,14,0, 
2,2,2,0,1,0,1,0,9,2,19,0,0,1,2,5,4,0, 
3,2,1,2,6,0,1,0,10,4,21,1,0,0,4,6,3,0, 
20,1,5,17,136,0,8,0,226,17,18,8,0,0,10,128,43,0, 
0,1,0,0,0,0,0,0,3,1,28,0,0,0,1,1,1,0, 
6,1,6,0,6,6,1,0,6,4,9,0,0,0,4,4,2,0, 
8,1,0,8,0,0,0,0,35,1,9,0,0,0,1,18,1,0, 
1,1,1,0,15,2,0,0,0,6,9,0,0,0,0,6,0,0, 
11,1,1,10,1,0,1,0,37,2,10,0,0,1,2,22,4,0, 
5,2,2,3,45,0,6,0,64,10,16,0,0,0,10,23,16,0, 
5,1,2,3,6,0,5,0,57,4,27,0,0,1,2,26,17,0, 
6,1,6,0,3,1,3,0,11,3,18,1,0,2,3,3,3,0, 
7,1,2,5,6,0,1,0,77,4,12,0,0,1,4,45,21,0, 
6,1,1,5,190,0,16,0,256,20,9,0,0,4,15,38,47,0, 
2,1,2,0,6,2,0,0,0,4,9,0,0,0,2,4,0,0, 
2,1,2,0,1,1,0,0,0,2,9,0,0,0,0,2,0,0, 
20,1,2,18,903,0,31,26,583,43,9,17,9,14,22,221,174,0, 
4,2,1,3,21,0,1,2,35,7,35,1,0,0,7,15,9,0, 
2,1,1,1,0,0,3,0,225,1,9,0,0,3,1,2,79,0, 
4,1,2,2,6,0,5,0,26,4,9,0,0,5,4,10,10,0, 
8,2,0,8,0,0,0,3,49,1,23,0,0,0,0,24,9,0, 
1,2,0,1,78,0,18,6,877,13,35,18,12,0,1,85,140,0, 
7,1,3,4,45,0,7,0,77,10,12,7,1,0,9,29,19,0, 
6,3,2,4,15,0,1,2,27,6,51,1,0,0,5,17,10,0, 
14,3,11,3,15,0,0,16,49,6,104,0,0,0,6,13,17,1, 
1,2,0,1,861,0,34,6,2864,42,35,34,41,0,1,312,479,0, 
19,4,18,1,1,0,0,1,6,2,21,0,0,0,1,3,2,0, 
4,1,0,4,1,0,0,0,32,2,9,0,1,0,1,14,3,0, 
6,1,1,5,1,0,5,0,22,2,10,1,0,4,2,16,3,0, 
1,1,1,0,6,1,0,0,0,4,9,0,0,0,0,4,0,0, 
6,1,3,3,10,0,6,0,44,5,9,2,0,4,0,14,12,0, 
18,2,2,16,15,0,7,0,141,6,39,0,1,7,5,68,24,0, 
4,1,4,0,21,0,5,0,29,7,9,0,0,5,6,7,7,0, 
3,2,1,3,10,0,4,0,37,5,13,0,0,4,5,12,7,0, 
2,2,1,1,55,0,6,0,14,11,33,4,2,2,9,14,5,0, 
0,3,0,0,1,0,1,3,5,2,29,1,0,0,1,3,2,1, 
3,2,1,3,15,0,3,0,51,6,15,3,0,0,6,23,12,1, 
9,1,0,9,1,0,0,0,70,2,9,0,0,0,2,38,12,0, 
2,1,1,1,1,0,0,0,3,2,10,0,0,0,2,3,1,0, 
9,1,0,9,10,0,2,0,64,5,9,2,4,0,1,33,15,0, 
10,2,0,10,21,0,7,2,73,7,39,4,1,1,6,41,17,0, 
3,1,3,0,0,0,0,0,3,1,27,0,0,0,1,1,1,0, 
10,3,6,4,6,0,1,2,19,4,49,1,0,0,3,12,7,0, 
5,2,1,4,15,0,8,0,30,6,11,6,0,1,6,12,8,1, 
6,2,0,6,3,0,1,3,48,3,23,1,2,0,0,35,7,0, 
8,1,1,7,1,0,1,0,32,2,10,0,0,1,2,15,4,0, 
2,1,1,1,3,0,17,0,27,3,9,0,0,0,2,5,18,0, 
16,1,6,11,153,0,7,0,165,18,39,6,5,0,13,84,30,0, 
14,1,2,12,21,0,1,0,98,7,9,1,1,0,6,58,16,0, 
5,3,1,4,15,0,8,0,133,6,24,0,0,6,5,31,26,0, 
3,1,1,2,91,0,6,0,75,14,19,0,1,6,13,24,19,0, 
18,1,1,17,496,0,22,0,285,32,9,12,4,0,28,105,68,0, 
6,2,1,5,3,0,3,0,31,3,11,0,0,3,2,10,6,0, 
4,3,1,3,1,0,1,1,19,2,16,0,0,1,2,6,4,0, 
2,3,0,2,0,0,0,3,46,1,24,0,0,0,0,16,10,0, 
2,1,1,1,6,0,3,0,46,4,18,2,0,1,4,22,18,0, 
4,3,1,3,1,0,0,1,12,2,16,0,0,0,2,9,5,0, 
8,1,8,0,1,3,0,0,0,2,9,0,0,0,2,2,0,0, 
4,1,2,2,3,0,7,0,21,3,9,1,0,6,3,6,4,0, 
8,1,3,5,253,1,10,0,189,23,9,0,0,0,19,84,39,0, 
1,2,0,1,66,0,14,6,919,12,35,14,11,0,1,104,162,0, 
4,2,0,4,1,0,2,0,13,2,15,2,0,0,2,8,3,0, 
9,1,7,2,3,0,26,0,20,3,9,0,0,0,0,6,8,0, 
6,3,1,5,36,0,13,1,94,9,41,13,0,0,9,36,18,0, 
1,2,1,0,6,0,1,3,11,4,12,0,0,1,4,4,4,0, 
1,2,0,1,91,0,14,6,1295,14,35,14,13,0,1,150,219,0, 
11,2,7,4,28,0,1,0,30,8,39,0,0,0,7,16,12,0, 
2,1,2,0,0,0,0,0,3,1,27,0,0,0,1,1,1,0, 
4,1,1,3,28,0,2,0,171,8,9,2,6,0,1,123,58,0, 
9,2,2,7,378,0,8,2,215,28,58,7,3,0,19,84,57,1, 
8,3,1,7,21,0,2,1,68,7,47,2,0,0,7,36,13,0, 
3,4,2,1,3,0,0,2,10,3,63,0,0,0,3,5,3,0, 
6,3,4,2,1,0,1,1,10,2,16,0,0,1,2,4,2,0, 
2,1,2,0,15,2,0,0,6,6,9,0,0,0,5,8,2,0, 
6,2,3,3,15,0,1,0,63,6,21,0,0,1,6,36,15,0, 
46,1,45,1,120,12,3,0,89,16,18,3,1,0,15,37,24,0, 
2,3,1,1,10,0,3,2,28,5,44,3,0,0,3,6,7,0, 
2,2,1,1,1,0,2,0,25,2,11,2,0,0,2,3,4,0, 
24,1,1,23,1081,1,37,36,822,47,9,24,10,11,30,284,244,0, 
42,1,41,1,15,6,0,0,7,6,9,0,0,0,6,9,3,0, 
4,3,1,3,3,0,3,1,44,3,49,3,0,0,3,11,6,0, 
6,1,1,5,231,0,64,0,422,22,9,34,7,0,12,77,139,0, 
2,2,2,0,10,0,8,0,73,5,13,7,1,0,4,7,16,0, 
8,2,6,2,45,3,1,0,32,10,31,0,0,0,10,19,10,0, 
2,1,2,0,15,1,1,0,3,6,9,0,0,1,0,6,1,0, 
3,3,1,2,3,0,5,1,32,3,16,3,1,0,2,13,8,1, 
13,3,8,5,78,1,3,0,111,13,37,3,0,0,11,38,25,1, 
11,1,8,3,66,3,3,0,30,12,18,2,0,0,11,25,12,0, 
9,2,1,8,78,0,5,9,270,13,54,2,0,0,8,67,61,0, 
3,2,1,2,10,0,4,0,32,5,13,0,0,4,5,9,7,0, 
4,3,0,4,10,0,1,0,43,5,31,1,0,0,5,13,8,0, 
6,3,2,4,6,0,0,1,29,4,47,0,0,0,4,15,8,0, 
3,1,3,0,6,0,3,0,13,4,9,3,0,0,4,4,4,0, 
5,3,2,3,1,0,1,1,20,2,16,0,0,0,1,8,4,0, 
2,3,1,1,15,0,2,6,20,6,30,0,0,0,5,7,6,0, 
10,1,9,1,10,0,0,0,38,5,9,0,0,0,5,9,9,0, 
7,3,1,6,21,0,2,1,35,7,44,2,0,0,6,25,12,0, 
6,2,1,6,136,2,10,0,258,17,15,4,2,3,14,79,58,0, 
9,2,1,8,10,0,0,56,209,5,68,0,0,0,1,95,33,0, 
13,3,7,6,66,0,2,0,98,12,44,2,0,0,12,31,18,0, 
1,4,0,1,0,0,0,15,7,1,80,0,0,0,1,3,2,0, 
8,2,1,7,21,0,5,2,40,7,39,3,1,1,6,31,11,0, 
13,1,3,10,105,0,15,0,313,15,18,8,6,0,1,73,58,0, 
14,2,6,8,21,4,10,2,71,7,39,0,0,0,1,57,18,0, 
7,2,3,4,45,0,1,0,50,10,44,1,0,0,10,25,14,0, 
5,1,4,1,10,0,1,0,19,5,32,1,0,0,5,16,6,0, 
15,2,11,5,190,1,11,0,182,20,11,6,4,1,11,75,39,2, 
5,2,5,0,1,0,2,0,14,2,19,2,0,0,2,4,4,0, 
6,3,2,4,6,0,2,1,29,4,16,2,0,0,4,10,10,0, 
5,1,1,4,1,0,1,0,12,2,10,1,0,0,2,7,2,0, 
27,1,3,25,136,0,18,0,507,17,9,16,8,1,0,175,104,1, 
9,1,0,9,10,0,6,0,115,5,9,5,1,1,3,45,17,0, 
33,1,33,0,66,15,3,0,90,12,9,2,2,0,8,23,25,0, 
2,2,0,2,3,1,0,2,10,3,39,0,0,0,2,5,3,0, 
5,1,3,2,1,0,0,0,15,2,9,0,0,0,2,7,3,0, 
6,3,6,0,6,1,1,6,17,4,30,0,0,0,3,4,4,0, 
9,1,2,7,21,0,6,0,60,7,9,2,1,0,6,25,13,0, 
4,1,4,0,10,3,0,0,3,5,18,0,0,0,5,6,1,0, 
3,2,1,2,3,0,4,1,12,3,13,0,0,4,3,6,3,0, 
11,2,5,8,28,0,10,0,75,8,13,0,1,10,4,28,17,0, 
2,1,1,1,3,0,3,0,22,3,29,0,0,3,2,7,5,0, 
1,2,0,1,15,0,7,6,281,6,35,7,5,0,1,24,44,0, 
3,3,0,3,3,0,1,2,29,3,15,1,0,0,3,13,6,0, 
3,4,0,3,1,0,2,3,19,2,22,0,0,0,2,6,4,0, 
5,1,3,2,6,0,1,0,14,4,10,0,0,1,4,11,4,0, 
4,3,1,3,6,0,8,14,16,4,39,0,1,1,3,12,4,0, 
3,3,1,2,55,0,4,0,115,11,17,4,4,0,7,64,32,0, 
36,2,30,8,210,1,5,0,149,21,39,4,0,0,20,94,46,0, 
6,2,1,5,10,0,7,0,26,5,13,0,0,7,4,14,5,0, 
9,1,1,8,36,0,6,0,79,9,18,6,1,0,5,30,16,0, 
5,2,4,1,3,0,1,0,9,3,11,1,0,0,3,4,3,0, 
5,2,4,1,3,42,1,0,10,3,13,0,0,0,2,5,3,1, 
3,3,1,2,1,0,9,1,140,2,16,9,0,0,2,8,26,0, 
103,1,99,7,66,16,1,0,84,12,27,1,0,0,11,49,23,0, 
7,3,6,1,6,0,2,1,30,4,16,2,1,0,3,14,8,1, 
5,3,0,5,45,0,1,2,61,10,55,1,1,0,9,24,16,0, 
13,2,0,13,36,0,9,11,153,9,33,3,0,0,3,71,27,1, 
3,1,0,3,1,0,1,0,33,2,9,1,0,0,2,16,4,0, 
7,1,1,6,6,0,1,0,52,4,9,0,1,1,3,25,4,0, 
1,1,0,1,6,6,2,0,24,4,18,1,1,1,1,12,6,0, 
2,2,0,2,3,1,1,0,11,3,21,0,0,0,3,9,3,0, 
7,1,4,3,45,0,2,0,60,10,39,2,0,0,10,30,18,0, 
21,1,1,20,78,0,8,0,232,13,9,8,5,0,8,147,48,0, 
25,1,21,4,325,19,6,0,306,26,9,0,0,0,3,76,95,0, 
8,3,0,8,3,0,0,12,38,3,46,0,0,0,2,28,9,0, 
2,1,0,2,1,0,0,0,5,2,10,0,0,0,2,5,2,0, 
5,3,1,4,1,0,1,0,19,2,12,0,0,1,2,14,4,0, 
3,2,0,3,105,0,7,9,129,15,37,7,4,0,7,34,31,0, 
4,1,2,2,136,0,40,0,173,17,9,40,14,0,3,68,44,0, 
6,2,2,4,21,1,7,11,38,7,33,4,1,3,4,23,10,0, 
5,2,2,3,10,0,7,0,32,5,11,0,0,7,3,12,8,0, 
4,1,1,3,496,0,19,36,947,32,9,2,26,7,5,167,301,0, 
5,2,1,4,3,0,3,0,19,3,15,2,0,0,3,14,5,0, 
4,3,1,3,15,0,3,0,41,6,17,3,0,0,6,18,12,0, 
2,1,1,1,3,0,1,0,16,3,27,1,0,0,3,7,4,0, 
2,2,0,2,15,0,3,0,23,6,15,0,0,0,6,10,6,0, 
5,1,2,3,6,0,5,0,57,4,27,0,0,1,2,26,17,0, 
5,3,1,4,1,0,1,0,14,2,12,0,0,1,2,8,2,0, 
13,2,8,5,15,0,0,0,22,6,39,0,0,0,5,15,7,0, 
0,1,0,0,0,0,0,0,3,1,27,0,0,0,1,1,1,0, 
7,1,4,3,6,0,2,0,21,4,9,2,0,0,4,18,5,0, 
1,2,0,1,78,0,11,6,788,13,35,11,12,0,1,90,141,0, 
6,1,6,0,1,0,19,0,7,2,9,4,1,15,1,3,2,0, 
18,3,10,9,253,0,11,4,195,23,48,2,2,9,19,97,61,0, 
1,2,0,1,1,0,0,1,11,2,19,0,0,0,0,3,3,0, 
3,1,0,3,0,0,0,0,22,1,9,0,0,0,1,11,3,0, 
18,1,17,1,3,16,0,0,6,3,18,0,0,0,3,5,2,0, 
4,2,0,4,1,0,5,2,14,2,39,0,0,0,2,10,2,0, 
1,1,1,0,0,0,0,0,3,1,27,0,0,0,1,1,1,0, 
5,2,1,4,6,0,1,2,18,4,39,0,0,1,4,11,5,0, 
29,1,17,12,105,0,7,0,280,15,9,5,1,0,14,86,46,0, 
4,1,4,0,0,0,0,0,3,1,29,0,0,0,1,1,1,0, 
2,2,1,1,276,2,1,2,82,24,58,0,0,0,19,60,24,0, 
4,1,4,0,1,0,8,0,13,2,9,0,0,8,2,3,2,0, 
14,2,9,5,36,0,2,0,131,9,39,0,0,2,8,28,15,0, 
7,2,1,6,21,0,8,0,101,7,21,3,4,1,2,44,22,0, 
5,3,1,4,3,0,1,1,22,3,24,1,0,0,3,10,5,0, 
4,1,2,2,1,0,2,0,7,2,10,2,0,0,2,4,2,0, 
4,1,1,3,1,0,6,0,21,2,9,3,0,0,2,16,2,0, 
4,1,1,3,120,0,4,0,115,16,9,4,4,0,12,33,29,0, 
1,1,1,0,0,0,0,0,3,1,27,0,0,0,1,1,1,0, 
5,3,1,4,1,0,2,1,38,2,16,1,0,0,2,10,8,0, 
8,1,8,0,21,0,3,0,33,7,9,2,0,0,7,7,11,1, 
8,1,2,6,10,0,3,0,70,5,9,3,0,0,5,35,10,0, 
6,1,1,5,171,0,41,0,271,19,9,29,7,0,10,40,64,0, 
7,1,2,5,21,0,1,0,40,7,9,1,1,0,6,24,12,0, 
8,1,0,8,1,0,0,0,56,2,9,0,1,0,1,18,2,0, 
17,1,2,15,36,0,4,0,427,9,9,3,3,1,6,150,79,2, 
4,1,2,2,1,1,1,0,8,2,9,0,0,1,0,6,3,0, 
3,2,0,3,1,0,0,2,13,2,39,0,0,0,2,8,3,0, 
7,2,2,5,66,0,15,0,132,12,24,8,0,7,4,44,26,0, 
90,1,90,0,6,22,0,0,7,4,9,0,0,0,4,5,3,1, 
4,2,0,4,6,0,4,0,31,4,15,3,0,0,4,14,4,0, 
5,1,1,4,231,0,8,0,312,22,9,8,12,0,8,157,164,0, 
5,3,1,4,6,0,2,0,18,4,24,2,0,0,2,12,6,0, 
1,2,1,0,6,0,1,3,11,4,12,0,0,1,4,4,4,0, 
5,1,2,3,3,0,5,0,87,3,27,0,0,3,2,23,24,0, 
80,2,73,7,21,1,1,0,30,7,39,1,0,0,6,25,10,0, 
27,3,20,7,45,1,1,0,36,10,44,0,0,0,10,33,13,0, 
0,1,0,0,1,0,0,0,72,2,9,0,0,0,2,45,38,0, 
10,1,4,6,45,0,10,0,185,10,9,4,1,0,0,78,27,0, 
18,1,13,5,15,0,8,0,126,6,9,8,1,0,5,56,27,0, 
4,2,0,4,1,0,3,0,11,2,15,1,0,0,2,7,2,0, 
6,1,2,4,3,0,1,0,60,3,9,1,1,0,2,22,10,0, 
10,3,10,0,15,4,2,1,28,6,16,0,0,0,6,14,9,0, 
11,2,1,10,10,0,2,1,123,5,19,0,1,2,0,25,41,0, 
8,3,2,6,21,0,11,0,81,7,17,11,0,0,6,29,19,0, 
15,1,0,15,1,0,0,0,51,2,9,0,0,0,2,27,2,0, 
10,2,2,8,45,0,4,0,129,10,21,1,3,3,6,76,42,0, 
1,1,1,0,1,1,0,0,0,2,9,0,0,0,0,2,0,0, 
2,1,1,1,28,0,4,0,42,8,18,4,0,0,8,10,11,0, 
3,1,2,1,6,0,0,0,18,4,9,0,0,0,4,8,4,0, 
6,2,2,4,45,0,2,0,81,10,39,2,0,0,9,53,26,0, 
3,2,1,2,1,0,0,0,7,2,15,0,0,0,2,6,1,0, 
33,1,31,2,105,5,3,0,61,15,9,3,0,0,15,30,19,0, 
5,2,0,5,28,0,4,1,48,8,30,4,0,0,7,40,11,0, 
3,3,1,2,1,0,0,1,7,2,45,0,0,0,2,4,2,0, 
3,4,2,1,1,0,1,1,14,2,21,1,0,0,1,3,5,0, 
5,1,2,3,15,1,3,0,66,6,9,3,0,0,0,19,18,0, 
