 cbo , dit , fanIn , fanOut , lcom , noc , numberOfAttributes , numberOfAttributesInherited , numberOfLinesOfCode , numberOfMethods , numberOfMethodsInherited , numberOfPrivateAttributes , numberOfPrivateMethods , numberOfPublicAttributes , numberOfPublicMethods , rfc , wmc , bugs , 
9,1,4,6,78,0,4,0,138,13,6,1,5,0,7,60,38,0, 
9,1,9,0,15,9,3,0,21,6,2,3,0,0,6,8,7,0, 
18,2,1,17,28,0,0,0,174,8,29,0,4,0,2,72,60,0, 
4,3,1,4,190,0,8,0,142,20,21,8,10,0,8,67,41,0, 
48,5,23,26,1176,2,5,8,484,49,40,4,2,0,40,237,136,0, 
24,2,17,7,351,3,5,0,201,27,24,1,7,0,17,105,70,0, 
6,1,1,5,10,0,1,0,25,5,0,1,1,0,4,16,6,0, 
9,1,2,7,171,0,17,0,281,19,0,16,9,1,10,104,41,3, 
27,4,18,9,6,0,0,4,60,4,16,0,0,0,3,39,20,0, 
9,6,3,6,10,0,1,26,27,5,155,1,1,0,4,20,8,0, 
48,5,2,47,1225,0,13,2,681,50,74,13,28,0,14,345,153,0, 
1,5,1,0,10,0,1,2,10,5,75,1,0,0,4,5,4,0, 
5,3,3,2,21,2,5,3,25,7,24,3,0,0,7,13,7,0, 
5,4,2,3,55,2,2,7,65,11,78,1,0,0,8,45,21,0, 
3,1,2,1,1,0,2,0,9,2,0,2,0,0,2,5,2,0, 
4,1,2,2,1,0,1,0,11,2,0,1,0,0,2,6,2,0, 
8,1,6,2,10,1,9,0,30,5,6,3,0,0,2,21,12,0, 
3,1,1,2,6,0,2,0,23,4,15,2,1,0,3,13,8,0, 
2,3,1,1,3,0,5,0,14,3,23,5,1,0,2,8,3,0, 
4,2,1,3,55,1,4,0,53,11,6,4,0,0,11,26,13,0, 
10,2,0,10,3,0,0,1,34,3,4,0,0,0,1,23,3,0, 
7,1,2,5,15,0,3,0,76,6,6,3,3,0,3,44,21,0, 
10,1,1,9,45,0,1,0,30,10,15,1,0,0,10,19,10,0, 
6,2,5,1,6,0,2,0,14,4,10,2,0,0,4,5,4,0, 
2,2,1,1,3,0,0,0,11,3,11,0,0,0,3,6,3,0, 
1,1,0,1,0,0,0,0,52,1,6,0,0,0,1,25,17,0, 
4,3,0,4,6,0,0,7,18,4,33,0,0,0,2,11,9,0, 
9,2,1,8,10,0,3,0,32,5,26,2,0,0,5,17,10,0, 
2,6,0,2,1,0,0,0,7,2,20,0,0,0,2,5,2,0, 
50,1,46,5,78,0,5,0,66,13,6,5,1,0,12,40,23,1, 
1,4,1,0,0,0,0,0,3,1,36,0,0,0,1,1,1,0, 
3,1,1,2,3,0,2,0,15,3,0,2,0,0,3,9,4,0, 
5,1,1,4,6,0,1,0,29,4,0,1,1,0,3,19,4,0, 
9,1,2,7,15,0,1,0,31,6,9,0,0,1,6,21,8,0, 
9,2,1,8,28,2,2,0,78,8,10,2,2,0,6,33,20,0, 
12,4,2,10,45,2,0,5,130,10,80,0,1,0,2,91,44,0, 
4,1,1,3,6,0,1,0,39,4,6,1,0,0,4,11,10,0, 
12,3,3,9,45,0,4,5,79,10,32,3,0,0,10,46,25,0, 
1,3,0,1,0,0,0,1,3,1,17,0,0,0,1,2,1,0, 
16,3,3,13,325,0,9,10,204,26,69,8,2,0,21,136,56,1, 
19,1,2,18,276,0,13,0,320,24,0,13,13,0,11,150,67,2, 
4,1,3,1,6,0,3,0,36,4,0,3,0,0,3,9,5,0, 
43,1,30,13,45,0,0,0,196,10,6,0,0,0,10,70,42,2, 
4,3,4,0,55,0,5,0,30,11,70,5,0,0,11,11,10,0, 
20,1,0,20,28,2,4,0,132,8,0,1,1,0,1,83,23,0, 
3,1,1,2,45,0,7,0,89,10,6,5,1,0,9,32,23,0, 
1,1,1,0,1,0,0,0,22,2,0,0,0,0,1,6,6,0, 
3,1,1,2,3,0,3,0,41,3,0,2,1,1,2,16,5,0, 
2,6,0,2,36,2,1,110,27,9,415,1,0,0,9,17,9,0, 
11,1,8,3,6,0,2,0,17,4,6,0,0,0,3,11,5,0, 
3,1,1,2,66,2,1,0,34,12,6,0,0,0,11,17,12,1, 
5,1,1,4,36,0,9,0,257,9,6,0,2,0,3,65,81,0, 
24,1,11,14,666,0,1,0,644,37,6,1,23,0,13,305,168,0, 
11,8,8,3,3,1,1,4,11,3,172,1,0,0,3,7,3,0, 
18,1,7,11,66,0,5,0,153,12,0,5,8,0,4,65,28,0, 
0,1,0,0,1,0,1,0,10,2,0,1,0,0,2,4,3,0, 
9,3,6,3,15,0,1,0,34,6,23,1,0,0,6,19,11,0, 
8,3,2,6,21,0,2,6,33,7,15,2,1,0,4,25,9,0, 
7,2,1,6,153,1,3,3,245,18,13,0,1,0,1,119,69,0, 
3,1,1,2,10,0,2,0,39,5,0,2,1,0,4,12,9,0, 
16,4,1,15,105,0,0,0,103,15,70,0,0,0,9,52,27,0, 
9,3,1,8,21,0,1,5,124,7,65,1,5,0,2,82,45,0, 
34,2,27,7,210,2,2,0,181,21,11,1,2,0,6,95,61,0, 
4,3,2,2,1,0,0,1,14,2,5,0,0,0,1,5,3,0, 
8,1,2,6,10,2,2,0,43,5,6,1,0,0,1,22,10,0, 
4,2,1,3,6,0,1,1,30,4,14,1,0,0,1,12,4,0, 
38,5,4,35,666,0,7,2,627,37,70,7,19,0,10,291,158,0, 
5,1,2,3,45,0,2,0,80,10,0,2,5,0,5,42,24,0, 
4,2,1,3,55,1,3,0,49,11,6,2,0,1,11,26,11,0, 
12,2,1,11,1,0,1,0,50,2,6,1,0,0,1,32,9,0, 
17,1,2,15,15,0,5,0,85,6,6,5,2,0,3,41,21,0, 
2,2,1,1,1,0,0,1,6,2,5,0,0,0,1,3,2,0, 
13,3,3,11,45,0,1,4,99,10,21,1,2,0,4,39,33,0, 
10,1,2,8,6,0,5,0,52,4,0,5,0,0,4,28,19,0, 
9,1,1,9,28,0,9,0,92,8,6,9,2,0,6,54,21,1, 
4,2,1,3,10,0,2,1,28,5,7,2,1,0,1,13,6,0, 
6,1,5,1,21,1,3,0,38,7,6,2,0,0,6,12,9,0, 
4,2,1,3,36,0,2,7,69,9,20,2,0,0,2,27,13,1, 
5,3,3,2,1,0,0,1,14,2,5,0,0,0,1,5,3,0, 
4,1,2,2,6,5,0,0,25,4,0,0,0,0,1,11,6,0, 
17,2,14,3,55,5,4,0,50,11,12,4,0,0,11,19,17,0, 
4,1,1,3,10,0,7,0,77,5,6,7,2,0,3,23,18,1, 
2,1,0,2,1,0,0,0,27,2,6,0,1,0,1,9,2,1, 
36,5,2,35,780,0,18,2,624,40,74,18,21,0,9,266,126,0, 
13,5,1,12,105,0,2,13,126,15,80,0,5,0,9,80,21,0, 
8,5,1,7,45,4,1,5,77,10,66,1,1,0,7,39,11,0, 
30,1,9,24,231,0,6,0,293,22,8,5,6,0,16,184,77,0, 
12,3,1,11,105,0,6,0,179,15,21,6,7,0,8,72,22,0, 
9,4,7,2,15,4,2,1,31,6,44,1,0,0,5,14,12,0, 
32,5,1,31,378,0,5,2,337,28,73,5,9,0,11,182,73,0, 
2,1,1,1,45,0,5,0,52,10,0,5,1,0,9,27,15,0, 
1,1,1,0,10,0,5,0,68,5,0,5,1,0,4,19,17,0, 
5,1,0,5,15,0,2,0,49,6,0,2,2,0,4,26,8,0, 
13,5,0,13,105,0,6,13,91,15,80,6,2,0,10,52,20,0, 
17,2,7,10,91,2,4,0,107,14,56,4,3,0,7,54,28,1, 
1,1,0,1,0,0,0,0,10,1,6,0,0,0,1,7,3,0, 
2,3,1,1,6,0,1,5,16,4,14,1,0,0,3,9,5,0, 
4,1,1,3,21,0,2,0,50,7,6,2,2,0,5,29,15,0, 
5,1,1,4,21,0,0,0,214,7,6,0,1,0,2,117,64,0, 
24,1,14,12,36,0,1,0,95,9,6,1,4,0,5,52,27,0, 
6,1,0,6,66,0,6,0,114,12,0,6,8,0,1,48,28,0, 
4,5,3,1,3,0,1,4,9,3,64,1,0,0,3,5,3,0, 
5,3,1,4,36,0,4,3,58,9,32,4,0,0,1,30,14,1, 
9,3,1,8,3,0,1,8,29,3,36,1,0,0,1,17,8,2, 
23,1,3,20,465,0,33,0,452,31,6,14,23,1,7,291,118,1, 
4,1,1,3,45,0,1,0,38,10,0,0,0,1,10,18,10,0, 
9,5,4,6,66,0,1,30,51,12,253,1,0,0,12,27,17,0, 
4,1,0,4,1,0,0,0,21,2,0,0,0,0,2,13,5,0, 
4,2,2,2,10,0,0,0,22,5,9,0,0,0,5,11,7,0, 
27,1,3,24,36,2,1,0,143,9,0,1,3,0,1,75,35,1, 
8,2,2,6,10,0,3,0,38,5,28,2,2,0,1,15,5,0, 
0,2,0,0,1,0,0,1,3,2,18,0,0,0,1,2,1,1, 
6,3,2,4,66,0,4,8,73,12,57,4,1,0,10,39,27,0, 
30,2,1,29,528,1,7,1,412,33,11,6,29,0,2,233,96,1, 
3,2,2,1,1,0,0,1,6,2,14,0,0,0,1,3,2,0, 
4,1,3,1,0,0,1,0,3,1,0,1,0,0,1,2,1,0, 
0,1,0,0,3,3,0,3,6,3,7,0,0,0,3,4,2,0, 
9,1,7,2,15,2,1,0,21,6,0,1,1,0,5,14,4,0, 
4,1,3,1,3,0,29,0,8,3,6,4,1,0,2,7,3,0, 
2,1,1,1,6,0,1,0,50,4,6,0,1,0,2,14,10,0, 
15,1,12,3,105,0,6,0,77,15,0,4,2,0,13,43,24,0, 
2,1,2,0,1,0,42,0,6,2,7,0,0,0,2,3,1,1, 
3,3,1,2,3,0,0,7,15,3,14,0,0,0,2,8,4,0, 
9,4,2,7,120,0,2,0,96,16,39,2,4,0,7,47,20,0, 
17,6,9,8,325,2,5,2,106,26,89,3,0,0,25,66,29,0, 
18,2,1,17,66,0,3,6,188,12,14,3,8,0,2,86,34,0, 
2,2,1,1,3,0,0,0,10,3,29,0,1,0,2,6,4,0, 
2,2,1,1,3,0,0,0,11,3,11,0,0,0,3,6,3,0, 
1,2,0,1,1,23,0,5,9,2,12,0,0,0,1,4,4,0, 
9,3,1,8,15,0,1,1,49,6,41,0,0,0,2,26,11,0, 
6,1,4,2,21,0,3,0,32,7,6,3,0,0,7,20,10,0, 
7,1,2,7,6,0,3,0,53,4,0,3,2,0,2,22,7,0, 
10,2,1,9,36,0,2,12,118,9,14,2,0,0,3,40,32,0, 
8,1,1,7,1,0,0,0,87,2,6,0,1,0,1,36,11,1, 
7,4,1,6,153,0,3,0,120,18,39,3,7,0,7,61,23,0, 
