 cbo , dit , fanIn , fanOut , lcom , noc , numberOfAttributes , numberOfAttributesInherited , numberOfLinesOfCode , numberOfMethods , numberOfMethodsInherited , numberOfPrivateAttributes , numberOfPrivateMethods , numberOfPublicAttributes , numberOfPublicMethods , rfc , wmc , bugs , 
1,2,0,1,1,0,1,0,26,2,11,1,0,0,2,11,6,0, 
15,1,8,7,105,0,16,0,313,15,0,16,2,0,13,56,33,0, 
6,1,1,5,1,0,1,0,57,2,0,1,0,0,1,22,2,0, 
3,1,1,2,1,0,0,0,15,2,9,0,0,0,2,4,5,0, 
23,2,2,22,91,0,9,0,303,14,17,9,5,0,9,150,60,1, 
5,2,3,2,3,0,1,1,27,3,6,1,0,0,3,16,5,0, 
1,3,1,0,0,0,0,1,3,1,28,0,0,0,1,1,1,0, 
3,1,1,2,36,0,1,0,46,9,11,1,0,0,9,22,10,0, 
6,1,3,3,21,1,6,0,72,7,0,4,0,0,5,18,18,0, 
6,1,0,6,28,0,4,0,89,8,0,4,1,0,7,44,32,1, 
8,1,4,4,1,0,0,0,27,2,9,0,0,0,2,12,4,0, 
8,2,0,8,3,0,2,1,33,3,13,2,1,0,1,27,8,0, 
120,3,110,10,2485,4,28,0,294,71,101,26,2,0,67,124,92,0, 
11,1,3,8,15,0,5,0,138,6,0,5,1,0,5,33,10,2, 
1,1,1,0,6,0,1,0,58,4,0,1,0,0,3,13,11,0, 
5,1,3,2,15,0,3,0,46,6,9,3,2,0,4,18,7,0, 
13,1,3,12,105,0,11,0,313,15,9,11,5,0,8,119,69,1, 
4,1,0,4,6,0,2,0,122,4,9,2,2,0,2,31,8,0, 
3,1,2,1,15,0,2,0,19,6,9,2,0,0,6,8,6,0, 
5,3,1,4,3,0,0,2,19,3,42,0,0,0,3,7,7,0, 
2,1,1,1,1,0,2,0,9,2,9,2,1,0,1,3,2,0, 
34,1,13,23,703,0,10,0,464,38,0,9,7,0,23,206,89,8, 
0,1,0,0,0,0,1,0,3,1,25,1,0,0,1,1,1,0, 
8,1,4,4,10,1,3,0,56,5,9,0,0,0,5,26,11,0, 
1,1,0,1,0,0,11,0,11,1,9,0,0,0,1,2,10,0, 
2,1,0,2,3,0,1,0,24,3,0,0,0,0,1,8,6,0, 
1,1,0,1,1,0,0,0,9,2,0,0,0,0,2,3,3,0, 
13,1,8,6,45,2,2,0,49,10,9,2,0,0,8,30,14,0, 
11,3,1,10,36,0,5,4,137,9,43,3,5,0,4,70,33,0, 
3,1,2,1,36,0,2,0,157,9,0,1,0,0,6,25,48,0, 
19,1,7,15,190,0,22,0,257,20,0,22,1,0,9,77,33,0, 
2,3,0,2,28,0,4,0,49,8,52,4,0,0,8,17,18,0, 
11,1,1,10,10,0,3,0,58,5,0,3,0,0,5,30,14,0, 
65,2,5,62,780,0,12,0,1090,40,17,12,24,0,16,851,222,0, 
2,1,0,2,1,0,4,0,19,2,9,1,2,0,0,11,4,0, 
22,4,22,0,21,0,1,2,21,7,170,0,0,0,7,7,7,0, 
12,1,3,10,21,0,1,0,70,7,0,1,2,0,5,37,12,0, 
10,2,4,6,28,2,1,0,47,8,2,1,0,0,4,23,9,0, 
11,1,2,9,3,0,5,0,60,3,0,5,0,0,3,23,3,0, 
2,1,2,0,3,0,2,0,10,3,0,1,0,0,3,4,3,0, 
3,1,2,1,55,0,1,0,124,11,9,1,3,0,8,43,25,0, 
0,1,0,0,0,0,3,0,3,1,0,1,0,2,1,2,1,0, 
2,2,1,1,6,0,0,0,9,4,22,0,0,0,1,5,3,0, 
4,2,0,4,1,0,2,0,54,2,32,2,0,0,2,21,4,0, 
4,1,0,4,21,2,1,0,50,7,10,0,2,0,1,32,11,0, 
5,2,4,2,28,0,5,0,29,8,15,5,0,0,8,12,8,0, 
2,1,0,2,0,0,0,0,17,1,0,0,0,0,1,9,4,0, 
1,2,1,0,6,0,0,0,9,4,22,0,0,0,1,5,3,0, 
3,1,3,0,66,0,6,0,35,12,18,6,0,0,12,12,12,0, 
2,1,1,1,21,0,4,0,38,7,0,3,0,0,7,14,8,0, 
3,2,1,2,1,0,0,0,12,2,7,0,0,0,1,7,2,0, 
4,1,0,4,10,0,3,0,27,5,0,2,0,0,5,14,5,0, 
5,4,1,4,10,0,3,25,26,5,78,3,0,0,2,10,7,1, 
9,1,1,8,10,0,0,0,201,5,9,0,3,0,2,79,41,0, 
2,2,0,2,3,0,1,0,64,3,32,1,0,0,2,12,8,0, 
52,1,50,2,36,2,4,0,45,9,18,0,0,0,8,15,13,0, 
2,2,0,2,0,0,0,0,13,1,1,0,0,0,0,9,3,0, 
1,1,1,0,15,0,6,0,45,6,9,6,0,0,6,12,14,0, 
7,1,7,0,15,4,0,0,0,6,9,0,0,0,6,6,0,0, 
0,2,0,0,0,0,1,17,5,1,12,1,0,0,1,2,1,0, 
2,1,1,1,1,0,2,0,9,2,9,2,1,0,1,3,2,0, 
4,2,0,4,6,3,2,8,37,4,25,2,1,0,3,13,6,0, 
1,3,0,1,0,0,0,1,3,1,21,0,0,0,1,3,1,0, 
0,1,0,0,10,0,4,0,37,5,9,4,0,0,5,7,6,0, 
26,1,17,9,351,6,17,0,270,27,0,9,2,0,13,147,71,1, 
6,1,2,4,15,0,1,0,75,6,9,1,3,0,3,34,16,0, 
7,1,3,4,1,0,3,0,68,2,0,3,0,0,2,10,4,1, 
8,1,5,3,21,0,10,0,76,7,18,5,2,0,5,24,27,1, 
7,3,1,6,6,0,1,16,39,4,48,1,0,0,1,22,6,1, 
4,1,2,2,66,0,6,0,70,12,18,6,0,0,12,28,32,0, 
6,1,2,4,10,0,2,0,89,5,9,2,2,0,3,27,12,0, 
4,1,2,3,6,0,5,0,49,4,9,4,1,0,3,17,14,0, 
3,1,0,3,6,0,1,0,29,4,0,1,0,0,3,12,6,0, 
9,1,4,5,10,1,2,0,55,5,0,1,0,0,3,24,8,0, 
10,1,2,9,406,0,21,0,556,29,9,21,22,0,7,121,68,0, 
3,1,1,2,1,1,0,0,8,2,0,0,0,0,1,8,2,0, 
3,2,1,2,1,0,0,0,9,2,21,0,0,0,1,4,3,0, 
7,1,0,7,3,0,4,0,30,3,0,1,0,0,3,14,8,0, 
5,1,1,5,3,0,5,0,20,3,0,5,0,0,3,12,4,0, 
7,1,5,2,36,3,1,0,22,9,19,0,0,0,8,13,7,0, 
1,1,0,1,1,0,0,0,3,2,9,0,0,0,2,5,1,0, 
2,1,2,0,1,0,1,0,6,2,9,1,0,0,2,2,2,0, 
49,1,18,31,45,0,5,0,194,10,9,3,0,0,10,119,24,1, 
1,2,1,0,6,0,1,0,12,4,22,1,0,0,1,5,4,0, 
0,1,0,0,45,0,6,0,30,10,18,6,0,0,10,10,10,0, 
15,1,3,13,45,0,5,0,107,10,9,5,1,0,9,41,11,0, 
16,1,4,12,91,0,2,0,159,14,10,1,3,1,11,80,45,1, 
2,1,1,1,1,0,2,0,9,2,9,2,1,0,1,3,2,1, 
5,2,0,5,21,0,0,0,29,7,16,0,0,0,7,12,10,0, 
36,2,6,30,435,0,23,0,457,30,36,3,9,0,21,255,93,0, 
5,4,3,2,36,2,2,0,24,9,51,1,0,0,8,14,7,0, 
15,1,5,10,6,1,1,0,41,4,0,1,0,0,4,23,8,0, 
9,3,1,8,6,0,8,4,66,4,43,7,0,0,4,28,16,0, 
2,1,2,1,28,0,3,0,29,8,15,3,0,0,8,14,9,0, 
5,1,4,1,6,0,1,0,41,4,9,1,0,0,4,19,10,0, 
3,5,3,0,3,0,2,1,9,3,60,0,0,0,2,3,3,0, 
2,1,2,0,10,0,3,0,15,5,0,1,0,0,5,8,5,0, 
1,1,1,0,1,0,0,0,6,2,0,0,0,0,2,2,2,0, 
19,1,2,17,10,0,16,0,86,5,9,0,0,0,4,44,14,0, 
8,1,6,2,325,1,13,0,83,26,33,13,0,0,26,29,26,0, 
10,2,2,8,1035,0,23,0,288,46,35,23,0,0,46,159,166,0, 
2,1,1,1,1,0,2,0,26,2,0,1,0,0,2,7,2,0, 
7,2,0,7,0,0,1,1,41,1,2,1,0,0,0,18,6,0, 
112,1,110,3,55,0,7,0,41,11,9,7,0,0,11,15,11,0, 
8,1,3,5,28,0,13,0,92,8,9,13,3,0,5,47,17,0, 
2,2,1,1,6,0,1,0,12,4,22,1,0,0,1,5,4,0, 
7,3,1,6,15,0,4,4,88,6,43,4,0,0,6,32,25,0, 
4,2,1,3,6,0,0,0,40,4,32,0,0,0,4,23,4,0, 
4,2,2,2,3,0,1,0,31,3,10,1,1,0,2,11,3,0, 
44,3,17,28,66,0,2,6,120,12,57,2,0,0,6,61,18,1, 
11,1,3,8,15,0,12,0,77,6,9,10,2,0,4,37,21,0, 
20,1,19,1,45,7,5,0,60,10,18,5,0,0,10,19,21,0, 
1,1,1,0,3,0,1,0,16,3,0,1,0,0,3,6,4,0, 
1,1,1,0,1,0,0,0,6,2,0,0,0,0,2,3,2,0, 
5,1,2,5,153,0,8,0,166,18,16,8,6,0,12,81,40,0, 
2,1,2,0,1,1,0,0,0,2,9,0,0,0,2,2,0,0, 
3,1,1,2,1,0,1,0,9,2,18,0,0,0,2,6,6,0, 
1,2,0,1,1,0,1,4,26,2,11,1,0,0,2,8,3,0, 
7,1,2,5,21,3,2,0,61,7,0,2,0,0,6,26,9,0, 
2,2,1,1,6,0,2,0,9,4,22,2,0,0,1,5,3,0, 
7,1,1,6,55,0,5,0,149,11,9,5,2,0,9,51,21,0, 
4,1,1,4,28,0,6,0,102,8,9,6,1,0,7,30,24,0, 
6,2,0,6,6,0,0,4,56,4,20,0,0,0,2,31,13,1, 
110,1,110,1,15,0,1,0,18,6,9,0,0,0,6,16,6,0, 
22,2,9,13,36,0,5,1,74,9,11,5,0,0,9,36,11,0, 
2,2,1,1,6,0,0,0,9,4,22,0,0,0,1,5,3,0, 
5,1,1,4,10,0,3,0,68,5,9,2,2,0,3,21,25,1, 
7,1,1,6,1,0,2,0,27,2,0,2,0,0,1,12,2,0, 
5,2,2,3,28,0,1,8,43,8,63,0,0,1,2,14,10,0, 
0,1,0,0,0,0,31,0,3,1,0,1,0,30,1,2,1,0, 
2,1,1,1,15,1,2,0,47,6,0,1,0,0,4,14,12,0, 
10,1,9,1,66,0,10,0,45,12,18,5,0,0,12,14,14,0, 
4,4,3,1,6,0,1,3,14,4,75,1,0,0,4,5,4,0, 
3,2,2,1,6,1,2,0,13,4,22,2,0,0,1,5,4,0, 
7,1,2,5,66,0,9,0,157,12,0,9,4,0,6,53,22,0, 
1,1,1,0,0,0,17,0,0,1,18,1,0,16,1,1,0,0, 
2,1,2,0,1,0,1,0,6,2,0,0,0,0,2,3,2,0, 
6,1,1,5,1,0,0,0,44,2,0,0,1,0,1,13,3,0, 
6,1,6,0,6,0,2,0,13,4,18,2,0,0,3,5,4,0, 
8,1,5,3,6,0,14,0,37,4,9,4,2,0,2,19,8,2, 
1,2,1,0,10,0,1,0,12,5,54,0,0,1,5,9,4,0, 
1,2,0,1,0,0,0,0,5,1,1,0,0,0,0,2,2,0, 
1,1,0,1,10,0,6,0,53,5,0,6,1,0,3,11,5,0, 
4,1,0,4,10,0,2,0,65,5,0,2,1,0,3,19,9,0, 
15,2,4,11,861,1,6,0,407,42,2,6,0,0,18,271,106,0, 
1,1,0,1,15,0,6,0,19,6,18,6,0,0,6,7,6,0, 
1,2,0,1,171,0,1,1,92,19,27,1,0,0,19,40,19,0, 
1,1,0,1,6,0,0,0,15,4,9,0,1,0,3,10,4,0, 
6,1,2,4,6,0,2,0,78,4,9,2,1,0,3,22,5,0, 
13,1,4,9,28,0,6,0,51,8,0,3,0,0,7,29,15,0, 
9,1,5,4,66,0,9,0,112,12,0,9,3,0,9,31,14,0, 
3,4,2,1,10,0,2,0,15,5,51,0,0,0,5,6,5,0, 
4,2,0,4,15,0,4,0,187,6,32,4,4,0,2,21,14,1, 
8,2,1,7,3,5,0,0,29,3,11,0,0,0,2,16,6,0, 
4,2,0,4,3,0,2,0,60,3,2,2,1,0,2,21,6,0, 
2,1,0,2,6,0,3,0,18,4,0,2,0,0,4,8,4,0, 
16,1,1,15,78,0,5,0,144,13,0,3,9,1,4,83,20,0, 
2,1,0,2,15,0,0,0,20,6,9,0,0,0,6,9,7,0, 
14,2,1,13,66,0,9,0,223,12,41,8,1,0,11,196,75,1, 
3,2,2,1,1,0,0,0,9,2,13,0,0,0,1,7,2,0, 
35,1,16,20,990,0,15,0,480,45,0,14,16,0,24,191,87,0, 
11,1,4,7,15,0,4,0,56,6,0,3,0,0,6,30,12,1, 
33,2,3,32,351,0,3,0,400,27,36,2,6,0,21,175,66,1, 
7,1,2,5,3,0,3,0,17,3,0,3,0,0,3,13,3,0, 
4,2,0,4,10,0,7,8,19,5,77,7,0,0,2,26,3,0, 
9,2,0,9,45,0,1,0,188,10,16,1,1,0,9,59,34,0, 
12,1,4,8,6,1,5,0,59,4,9,5,0,0,2,37,9,0, 
3,1,1,3,15,0,6,0,36,6,0,5,1,0,5,25,8,0, 
0,1,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0, 
2,3,1,1,1,0,0,0,3,2,14,0,0,0,1,3,1,0, 
13,2,0,13,66,0,13,1,225,12,19,12,6,0,5,98,28,1, 
0,1,0,0,0,0,14,0,3,1,0,1,0,13,1,2,1,0, 
0,1,0,0,3,0,1,0,6,3,9,1,0,0,3,3,2,0, 
10,3,1,9,15,0,4,4,72,6,43,3,2,0,4,42,21,0, 
3,1,0,3,6,0,1,0,26,4,9,1,0,0,4,12,6,0, 
3,1,2,1,1,0,2,0,9,2,9,2,1,0,1,3,2,1, 
7,2,0,7,15,0,0,0,25,6,31,0,0,0,6,15,7,0, 
27,1,17,10,91,0,4,0,81,14,14,4,1,0,13,48,23,0, 
6,1,3,3,10,13,4,0,36,5,9,4,0,0,4,15,11,0, 
10,2,2,8,66,0,4,8,117,12,26,4,1,0,7,47,22,1, 
13,2,1,12,105,0,6,0,160,15,12,5,2,0,13,94,27,0, 
0,1,0,0,0,0,2,0,3,1,0,1,0,1,1,2,1,0, 
4,1,0,4,6,0,3,0,43,4,0,3,0,0,4,17,8,0, 
1,2,1,0,6,0,0,0,9,4,22,0,0,0,1,5,3,0, 
8,1,1,7,28,0,2,0,213,8,10,2,4,0,2,71,21,0, 
4,2,2,2,36,0,5,0,43,9,19,5,0,0,8,23,11,0, 
15,1,10,6,28,0,1,0,41,8,13,1,1,0,6,25,11,1, 
14,1,2,12,6,0,4,0,78,4,9,1,0,0,4,45,10,0, 
6,1,0,6,21,0,8,0,114,7,0,8,2,0,1,40,16,0, 
1,2,1,1,3,0,2,0,17,3,15,2,0,0,3,8,5,0, 
10,1,2,8,21,0,3,0,91,7,22,3,1,0,6,46,27,0, 
2,2,1,1,6,0,0,0,12,4,22,0,0,0,1,5,3,0, 
23,2,2,23,55,0,11,1,214,11,19,11,5,0,5,104,36,3, 
0,1,0,0,0,0,2,0,4,1,10,0,0,2,1,1,1,0, 
1,2,0,1,21,0,3,0,40,7,25,3,0,0,7,12,12,0, 
9,3,1,8,10,0,1,1,51,5,19,0,1,1,4,38,15,0, 
11,1,0,11,6,0,2,0,57,4,0,1,0,0,4,25,11,0, 
16,1,13,3,21,0,3,0,27,7,9,3,0,0,7,11,8,0, 
7,1,3,4,21,0,4,0,34,7,0,1,0,1,7,23,9,0, 
0,1,0,0,0,0,4,0,3,1,0,1,0,3,1,2,1,0, 
22,2,2,21,28,0,1,0,152,8,17,1,1,0,7,100,30,1, 
26,1,23,3,91,2,3,0,87,14,9,2,0,0,14,49,33,0, 
6,1,3,3,6,0,0,0,65,4,9,0,0,0,4,27,17,0, 
28,1,10,19,325,0,1,0,602,26,9,1,11,0,14,135,101,0, 
2,2,0,2,6,0,1,6,20,4,45,1,0,0,3,7,9,0, 
9,1,1,8,6,0,8,0,77,4,51,6,0,0,4,24,13,1, 
17,1,5,12,55,0,10,0,226,11,0,10,3,0,6,58,18,0, 
4,3,0,4,3,0,0,2,19,3,42,0,0,0,3,7,7,0, 
4,1,1,3,1,0,1,0,21,2,9,1,1,0,1,14,3,0, 
6,2,1,5,3,0,0,0,21,3,11,0,0,0,3,14,2,0, 
231,1,220,12,1770,0,34,0,336,60,19,21,8,0,52,190,106,1, 
0,2,0,0,0,0,0,0,3,1,18,0,0,0,1,1,1,0, 
3,1,1,2,15,0,0,0,30,6,9,0,0,0,6,9,9,0, 
3,1,3,0,21,3,3,0,40,7,9,3,0,0,7,10,12,0, 
21,1,1,20,66,0,17,0,523,12,51,17,6,0,6,248,130,1, 
2,2,1,1,0,0,0,0,3,1,5,0,0,0,1,2,1,0, 
2,1,2,0,0,0,3,0,12,1,9,1,0,0,1,4,2,0, 
2,1,2,0,21,0,7,0,26,7,18,7,0,0,7,7,7,0, 
11,1,10,1,91,0,10,0,51,14,18,6,0,0,14,16,16,0, 
10,1,5,5,10,0,1,0,25,5,9,1,0,0,5,16,8,1, 
3,1,3,0,15,0,1,0,24,6,0,1,0,0,5,13,5,0, 
2,1,2,0,1,0,1,0,24,2,9,0,0,0,2,12,8,0, 
1,3,1,0,15,0,2,0,43,6,12,2,0,0,6,9,7,0, 
0,1,0,0,15,0,8,0,41,6,9,8,0,0,6,11,7,0, 
3,1,1,2,3,0,4,0,24,3,9,4,0,0,3,9,4,0, 
22,1,1,21,210,0,9,0,301,21,0,9,8,0,11,122,30,1, 
7,1,1,6,21,0,2,0,96,7,0,2,3,0,4,44,35,0, 
5,1,4,1,1,0,1,0,8,2,0,0,0,0,2,6,2,0, 
7,1,2,5,15,4,1,0,41,6,0,1,0,0,1,19,15,0, 
3,1,0,3,3,0,0,0,42,3,0,0,0,0,3,12,13,0, 
1,2,0,1,0,0,0,0,14,1,11,0,0,0,1,3,5,0, 
15,1,0,15,120,0,2,0,456,16,9,2,15,0,1,142,84,0, 
2,1,1,1,15,0,2,0,32,6,0,2,2,0,4,16,9,0, 
10,1,5,6,253,0,10,0,130,23,20,10,2,0,19,81,32,0, 
2,1,1,2,1,0,2,0,11,2,0,2,0,0,2,7,3,0, 
1,1,0,1,3,0,0,0,9,3,9,0,0,0,3,4,3,0, 
6,2,6,0,10,0,2,0,12,5,20,2,0,0,5,5,4,0, 
10,1,9,1,153,0,9,0,52,18,18,9,0,0,18,20,17,0, 
15,2,0,15,36,0,7,4,189,9,12,6,6,0,1,62,17,0, 
14,1,0,14,3,0,1,0,64,3,9,1,0,0,3,32,13,0, 
7,1,2,5,6,1,0,0,50,4,9,0,0,0,2,25,14,0, 
1,1,0,1,3,0,0,0,10,3,0,0,0,0,3,6,3,0, 
1,1,0,1,0,0,1,0,14,1,0,0,0,0,1,7,4,1, 
2,2,2,0,1,0,1,0,3,2,19,1,0,0,1,3,1,0, 
12,2,3,10,36,0,5,0,124,9,17,5,1,0,8,67,28,2, 
13,1,6,7,136,0,6,0,153,17,9,5,4,0,13,67,49,0, 
2,1,2,0,1,0,1,0,6,2,9,1,0,0,2,2,2,0, 
0,1,0,0,0,0,2,0,4,1,10,0,0,2,1,1,1,0, 
6,2,1,5,15,1,0,4,25,6,17,0,0,0,6,15,9,0, 
2,1,0,2,0,0,0,0,3,1,9,0,0,0,1,3,1,0, 
6,1,0,6,28,4,5,0,74,8,9,1,0,0,4,33,15,0, 
0,1,0,0,0,0,1,0,0,0,9,0,0,0,0,0,0,0, 
4,2,2,2,3,0,1,0,17,3,10,1,0,0,3,6,5,0, 
8,3,1,7,6,0,6,4,42,4,43,5,0,0,4,20,13,0, 
0,1,0,0,0,0,3,0,3,1,0,1,0,2,1,2,1,0, 
1,1,0,1,3,0,2,0,23,3,9,2,0,0,3,8,7,0, 
2,1,0,2,36,0,5,0,111,9,0,5,1,0,7,24,10,0, 
10,1,1,9,45,0,9,0,152,10,14,9,0,0,10,91,21,0, 
12,1,6,7,45,0,5,0,51,10,0,4,2,0,8,26,13,0, 
2,1,1,1,1,0,2,0,9,2,9,2,1,0,1,3,2,0, 
6,2,0,6,15,0,0,4,26,6,17,0,0,0,6,16,9,0, 
0,2,0,0,1,0,0,4,6,2,17,0,0,0,1,2,2,0, 
11,1,0,11,45,0,13,0,307,10,9,0,3,8,7,129,34,0, 
28,1,26,4,435,0,2,0,194,30,9,2,1,0,27,106,39,0, 
3,1,0,3,1,2,1,0,21,2,0,0,0,0,1,9,5,0, 
10,1,3,8,21,0,2,0,70,7,9,2,0,0,7,28,20,0, 
44,2,42,2,21,37,1,4,15,7,36,1,0,0,6,11,5,0, 
2,1,1,1,15,0,2,0,40,6,9,2,1,0,5,12,7,0, 
0,1,0,0,0,0,6,0,2,1,0,1,1,5,0,1,1,0, 
40,1,5,35,105,0,29,0,461,15,9,29,11,0,4,259,108,1, 
20,3,1,19,91,0,7,1,199,14,21,7,3,0,9,97,42,1, 
3,2,3,0,0,0,1,0,3,1,23,1,0,0,1,1,1,0, 
4,2,0,4,1,0,0,0,9,2,4,0,0,0,1,6,4,0, 
10,1,4,6,21,0,1,0,39,7,9,1,1,0,6,21,10,0, 
3,2,3,0,3,2,0,0,10,3,55,0,0,0,3,3,3,0, 
3,1,0,3,1,0,0,0,32,2,0,0,0,0,0,7,6,0, 
0,1,0,0,0,0,4,0,3,1,0,1,0,3,1,2,1,0, 
4,3,0,4,1,1,0,1,9,2,31,0,0,0,2,11,2,0, 
47,2,17,32,406,0,11,0,417,29,36,8,3,0,26,230,85,0, 
0,1,0,0,21,0,2,0,31,7,0,2,0,0,6,14,11,1, 
0,2,0,0,0,0,0,4,3,1,17,0,0,0,0,1,1,0, 
1,1,1,0,1,0,3,0,17,2,9,0,0,2,2,2,8,0, 
3,1,2,1,1,0,2,0,9,2,9,2,1,0,1,3,2,1, 
1,1,1,0,3,1,1,0,6,3,9,1,0,0,3,3,2,0, 
1,2,0,1,946,0,5,0,1831,44,46,4,5,1,38,398,136,0, 
1,2,0,1,0,0,0,1,13,1,2,0,0,0,0,8,4,1, 
2,1,2,0,1,0,1,0,7,2,0,1,0,0,2,2,2,0, 
5,2,2,4,21,1,5,0,44,7,22,4,1,0,1,18,9,0, 
6,1,6,0,10,0,2,0,12,5,9,2,0,0,5,6,4,0, 
2,1,2,0,3,0,2,0,10,3,9,0,0,2,3,3,3,0, 
15,3,1,14,10,0,8,0,61,5,10,8,1,0,3,33,8,1, 
34,3,9,25,1770,2,16,4,611,60,36,16,11,0,42,369,175,1, 
10,3,1,9,3,0,2,4,32,3,43,2,0,0,3,20,7,0, 
0,1,0,0,0,0,8,0,3,1,0,1,0,7,1,2,1,0, 
8,1,1,7,1,0,2,0,16,2,9,2,0,0,2,12,2,0, 
10,1,0,10,0,0,1,0,32,1,9,1,0,0,1,25,2,0, 
7,1,1,6,3,0,3,0,28,3,0,2,0,0,3,15,6,1, 
0,1,0,0,6,0,0,0,9,4,0,0,0,0,4,7,4,0, 
13,1,2,11,15,0,3,0,62,6,12,3,0,0,6,35,15,0, 
7,1,0,7,15,0,0,0,44,6,9,0,0,0,6,19,12,0, 
7,1,6,1,21,1,0,0,6,7,9,0,0,0,7,11,2,0, 
1,3,0,1,15,0,3,0,38,6,52,3,0,0,6,10,11,0, 
2,1,1,1,1,0,2,0,9,2,9,2,1,0,1,3,2,0, 
2,1,0,2,3,0,0,0,22,3,9,0,1,0,2,9,6,0, 
2,1,2,0,91,0,6,0,41,14,9,6,0,0,14,14,14,0, 
1,3,1,0,0,1,0,1,3,1,15,0,0,0,1,1,1,0, 
5,1,2,3,21,0,5,0,42,7,0,0,1,0,6,32,8,0, 
1,2,1,0,0,0,1,0,3,1,26,1,0,0,1,1,2,0, 
17,1,6,11,66,3,5,0,76,12,0,5,0,0,10,37,22,0, 
4,1,0,4,1,0,0,0,55,2,9,0,1,0,1,26,12,0, 
17,2,0,17,55,0,8,1,225,11,19,8,7,0,4,99,29,2, 
2,1,2,1,120,0,8,0,132,16,9,8,0,0,16,36,18,0, 
4,2,0,4,1,0,1,1,23,2,11,1,0,0,2,15,6,0, 
